question,workflow,tools,sourceCategory,keywords
宿舍可以用什么电器？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""宿舍"", ""电器"", ""允许"", ""功率""]"
宿舍有饮水机吗？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""宿舍"", ""饮水机"", ""开水"", ""水房""]"
宿舍可以用吹风机吗？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""宿舍"", ""吹风机"", ""大功率"", ""电器""]"
宿舍有热水吗？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""宿舍"", ""热水"", ""洗澡"", ""供应""]"
宿舍几个人住？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""宿舍"", ""人数"", ""几人间"", ""四人间""]"
宿舍有衣柜吗？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""宿舍"", ""衣柜"", ""储物"", ""空间""]"
宿舍查房是什么时候？,KNOWLEDGE_QA,GET_CURRENT_TIME|SEARCH_PUBLIC_KNOWLEDGE,,"[""宿舍"", ""查房"", ""检查"", ""卫生""]"
宿舍门禁是几点？,KNOWLEDGE_QA,GET_CURRENT_TIME|SEARCH_PUBLIC_KNOWLEDGE,,"[""宿舍"", ""门禁"", ""时间"", ""晚归""]"
宿舍有洗衣机吗？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""宿舍"", ""洗衣机"", ""洗衣"", ""公共""]"
宿舍有空调吗？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""宿舍"", ""空调"", ""有没有"", ""制冷""]"
宿舍怎么充值电费？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""宿舍"", ""电费"", ""充值"", ""缴费""]"
宿舍可以挂床帘吗？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""宿舍"", ""床帘"", ""蚊帐"", ""规定""]"
宿舍可以安装路由器吗？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""宿舍"", ""路由器"", ""WiFi"", ""网络""]"
宿舍可以使用电煮锅吗？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""宿舍"", ""电煮锅"", ""大功率"", ""违规""]"
宿舍可以换床位吗？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""宿舍"", ""换床位"", ""调换"", ""申请""]"
宿舍可以留宿外人吗？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""宿舍"", ""留宿"", ""外人"", ""规定""]"
宿舍可以做饭吗？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""宿舍"", ""做饭"", ""厨具"", ""违规""]"
宿舍怎么报修？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""宿舍"", ""报修"", ""维修"", ""后勤""]"
宿舍有独立卫浴吗？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""宿舍"", ""独立卫浴"", ""卫生间"", ""浴室""]"
宿舍有蟑螂怎么办？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""宿舍"", ""蟑螂"", ""虫子"", ""卫生""]"
宿舍跳闸了怎么办？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""宿舍"", ""跳闸"", ""停电"", ""怎么办""]"
宿舍有阳台吗？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""宿舍"", ""阳台"", ""晾衣服"", ""采光""]"
宿舍可以贴挂钩吗？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""宿舍"", ""挂钩"", ""装饰"", ""墙面""]"
宿舍有风扇吗？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""宿舍"", ""风扇"", ""夏天"", ""空调""]"
宿舍可以用台灯吗？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""宿舍"", ""台灯"", ""小功率"", ""学习""]"
快递地址怎么填？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""快递"", ""地址"", ""收货"", ""填写""]"
宿舍可以用卷发棒吗？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""宿舍"", ""卷发棒"", ""小功率"", ""电器""]"
快递站在哪里？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""快递"", ""驿站"", ""位置"", ""取件""]"
辅修专业怎么申请？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""辅修"", ""申请"", ""条件"", ""双学位""]"
怎么查自己的排名？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""排名"", ""成绩排名"", ""查询"", ""专业""]"
奖学金什么时候评选？,KNOWLEDGE_QA,GET_CURRENT_TIME|SEARCH_PUBLIC_KNOWLEDGE,,"[""奖学金"", ""评选"", ""时间"", ""申请""]"
绩点怎么算？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""绩点"", ""GPA"", ""计算"", ""加权""]"
什么时候考试？,KNOWLEDGE_QA,GET_CURRENT_TIME|SEARCH_PUBLIC_KNOWLEDGE,,"[""考试"", ""时间"", ""期末"", ""安排""]"
补考什么时候进行？,KNOWLEDGE_QA,GET_CURRENT_TIME|SEARCH_PUBLIC_KNOWLEDGE,,"[""补考"", ""时间"", ""安排"", ""重修""]"
挂科了怎么办？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""挂科"", ""补考"", ""重修"", ""影响""]"
教务系统密码忘了怎么办？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""教务系统"", ""密码"", ""忘记"", ""重置""]"
转专业需要什么条件？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""转专业"", ""条件"", ""绩点"", ""排名""]"
什么时候可以选课？,KNOWLEDGE_QA,GET_CURRENT_TIME|SEARCH_PUBLIC_KNOWLEDGE,,"[""选课"", ""时间"", ""开始"", ""开放""]"
四六级考试怎么报名？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""四六级"", ""报名"", ""英语"", ""考试""]"
重修需要缴费吗？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""重修"", ""费用"", ""缴费"", ""多少钱""]"
课程冲突了怎么办？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""课程冲突"", ""调课"", ""免听"", ""处理""]"
怎么申请转专业？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""转专业"", ""申请"", ""条件"", ""流程""]"
考试安排在哪里看？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""考试安排"", ""考场"", ""座位"", ""查询""]"
选课怎么选？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""选课"", ""怎么选"", ""系统"", ""流程""]"
学分不够怎么办？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""学分"", ""不够"", ""毕业"", ""补修""]"
选课满了怎么办？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""选课"", ""满员"", ""候补"", ""扩容""]"
可以申请免修吗？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""免修"", ""申请"", ""条件"", ""已修""]"
综测加分项目有哪些？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""综测"", ""加分"", ""德育"", ""文体""]"
保研需要什么条件？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""保研"", ""条件"", ""推免"", ""绩点""]"
毕业设计要求是什么？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""毕业设计"", ""论文"", ""要求"", ""查重""]"
体测什么时候进行？,KNOWLEDGE_QA,GET_CURRENT_TIME|SEARCH_PUBLIC_KNOWLEDGE,,"[""体测"", ""时间"", ""体育"", ""测试""]"
体测不及格怎么办？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""体测"", ""不及格"", ""补测"", ""影响""]"
可以申请缓考吗？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""缓考"", ""申请"", ""条件"", ""因病""]"
成绩什么时候出？,KNOWLEDGE_QA,GET_CURRENT_TIME|SEARCH_PUBLIC_KNOWLEDGE,,"[""成绩"", ""查询"", ""公布"", ""时间""]"
教材费怎么交？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""教材费"", ""缴费"", ""缴纳"", ""费用""]"
考试带什么证件？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""考试"", ""证件"", ""学生证"", ""校园卡""]"
学校有打印店吗？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""打印店"", ""打印"", ""复印"", ""位置""]"
学校有教材中心吗？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""教材"", ""中心"", ""购买"", ""课本""]"
二手书在哪里买？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""二手书"", ""购买"", ""旧书"", ""闲鱼""]"
课本在哪里买？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""课本"", ""教材"", ""购买"", ""书店""]"
可以不买学校教材吗？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""教材"", ""不买"", ""自备"", ""淘宝""]"
上课迟到了怎么办？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""迟到"", ""上课"", ""怎么办"", ""老师""]"
A1教学楼在哪里？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""A1"", ""教学楼"", ""位置"", ""怎么走""]"
晚上有课吗？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""晚上"", ""有课"", ""选修"", ""时间""]"
B2教学楼怎么走？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""B2"", ""教学楼"", ""怎么走"", ""位置""]"
教室在哪里查？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""教室"", ""查询"", ""课表"", ""上课地点""]"
公共教学楼在哪？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""公共教学楼"", ""位置"", ""上课"", ""怎么走""]"
教室可以自习吗？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""教室"", ""自习"", ""没课"", ""自习室""]"
周末有课吗？,KNOWLEDGE_QA,GET_CURRENT_TIME|SEARCH_PUBLIC_KNOWLEDGE,,"[""周末"", ""有课"", ""选修"", ""周六""]"
教室有空调吗？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""教室"", ""空调"", ""有没有"", ""夏天""]"
调课通知在哪里看？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""调课"", ""通知"", ""查看"", ""课表""]"
学校买了哪些数据库？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""数据库"", ""购买"", ""图书馆"", ""访问""]"
怎么校外访问知网？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""知网"", ""校外访问"", ""VPN"", ""图书馆""]"
知网怎么免费下论文？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""知网"", ""免费"", ""论文"", ""下载""]"
助学金每年都要重新申请吗？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""助学金"", ""申请"", ""每年"", ""重新""]"
怎么申请贫困认定？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""贫困认定"", ""申请"", ""材料"", ""困难""]"
奖学金会公示吗？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""奖学金"", ""公示"", ""5个工作日"", ""评选""]"
退役士兵学生有什么资助？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""退役士兵"", ""学费减免"", ""12000"", ""助学金""]"
单项奖学金有哪些？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""单项奖学金"", ""学业优秀"", ""科技创新"", ""文体""]"
国家助学金什么时候发放？,KNOWLEDGE_QA,GET_CURRENT_TIME|SEARCH_PUBLIC_KNOWLEDGE,,"[""国家助学金"", ""发放"", ""时间"", ""到账""]"
勤工助学岗位怎么找？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""勤工助学"", ""岗位"", ""申请"", ""系统""]"
综合奖学金分几等？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""综合奖学金"", ""等级"", ""一等"", ""二等""]"
助学贷款怎么申请？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""助学贷款"", ""申请"", ""生源地"", ""流程""]"
国家奖学金怎么申请？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""国家奖学金"", ""申请"", ""条件"", ""金额""]"
图书馆有电子资源吗？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""图书馆"", ""电子资源"", ""数据库"", ""知网""]"
图书馆有自习室吗？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""图书馆"", ""自习室"", ""自习"", ""座位""]"
图书馆可以带包进去吗？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""图书馆"", ""带包"", ""物品"", ""规定""]"
图书馆占座会被清理吗？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""图书馆"", ""占座"", ""清理"", ""30分钟""]"
图书馆可以复印资料吗？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""图书馆"", ""复印"", ""资料"", ""打印""]"
图书续借怎么操作？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""图书馆"", ""续借"", ""操作"", ""超期""]"
图书馆可以借多少本书？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""图书馆"", ""借书"", ""数量"", ""上限""]"
图书馆怎么校外访问？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""图书馆"", ""校外访问"", ""VPN"", ""数据库""]"
图书馆几点关门？,KNOWLEDGE_QA,GET_CURRENT_TIME|SEARCH_PUBLIC_KNOWLEDGE,,"[""图书馆"", ""关门"", ""时间"", ""晚上""]"
图书馆可以带自己的书吗？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""图书馆"", ""自带书"", ""资料"", ""学习""]"
图书馆研讨间怎么预约？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""图书馆"", ""研讨间"", ""预约"", ""使用""]"
图书馆几点开门？,KNOWLEDGE_QA,GET_CURRENT_TIME|SEARCH_PUBLIC_KNOWLEDGE,,"[""图书馆"", ""开门"", ""时间"", ""早上""]"
借书超期了怎么办？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""图书馆"", ""超期"", ""滞纳金"", ""罚款""]"
怎么办理学历学位证明？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""学历学位"", ""证明"", ""学信网"", ""师生服务中心""]"
学校VPN网址是什么？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""VPN"", ""网址"", ""webvpn"", ""校外""]"
护照丢了怎么办？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""护照"", ""丢失"", ""挂失"", ""报案""]"
复学需要办什么手续？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""复学"", ""手续"", ""申请"", ""医院""]"
在读证明怎么开？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""在读证明"", ""开具"", ""师生服务中心"", ""自助""]"
学生证丢了怎么补办？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""学生证"", ""丢失"", ""补办"", ""工本费""]"
怎么申请休学？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""休学"", ""申请"", ""流程"", ""教务处""]"
成绩单怎么打印？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""成绩单"", ""打印"", ""中英文"", ""自助""]"
VPN怎么用？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""VPN"", ""校外访问"", ""登录"", ""使用""]"
学生证火车优惠卡怎么充值？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""学生证"", ""火车优惠卡"", ""充值"", ""优惠""]"
学费怎么交？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""学费"", ""缴纳"", ""缴费"", ""财务处""]"
